station,lat,lon,elevation,n_obs,peak_sustained_wind,peak_gust,time_peak_sustained,time_peak_gust,mean_wind,max_1hr_mean_wind,pct_missing_wind,pct_missing_gust
KBDU,40.0394,-105.2258,1612.0,69,22.635536000000002,33.43886,2021-12-30 19:15:00,2021-12-30 21:15:00,6.464100695652173,19.377390666666667,0.0,56.52173913043478
KBJC,39.9088,-105.1172,1724.0,40,9.259992,18.519984,2021-12-30 14:45:00,2021-12-30 19:45:00,2.9837752,6.344809333333334,0.0,75.0
KFNL,40.4518,-105.0113,1529.0,24,14.404432,18.519984,2021-12-30 22:56:00,2021-12-30 22:56:00,4.801477333333334,7.459438,0.0,70.83333333333334
KDEN,39.8328,-104.6575,1656.0,24,11.317768000000001,17.491096,2021-12-30 19:53:00,2021-12-30 19:53:00,6.344809333333333,7.931011666666667,0.0,70.83333333333334
KCOS,38.8058,-104.7008,1881.0,24,15.43332,19.548872,2021-12-30 21:54:00,2021-12-30 21:54:00,8.0381875,10.717583333333332,0.0,45.83333333333333
